model,model_id,probe_id,category,query,response_text,mean_entropy,max_entropy,entropy_std,num_tokens,top_logprobs_count,error
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_01,control,What is the capital of France?,Paris.,0.6401816331273351,0.6401816331273351,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_02,control,What year did World War II end?,World War II ended in 1945.,0.6799900669495013,0.6799900669495013,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_03,control,What is the chemical formula for water?,H₂O,0.22282730270129747,0.22282730270129747,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_04,control,Who wrote Romeo and Juliet?,William Shakespeare.,0.137519626345772,0.137519626345772,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_05,control,What is the largest planet in our solar system?,Jupiter.,0.14145599708847753,0.14145599708847753,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_06,control,Who painted the Mona Lisa?,Leonardo da Vinci.,0.08391869539702576,0.08391869539702576,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_07,control,What is the boiling point of water at sea level in Celsius?,100°C,0.29255701014972535,0.29255701014972535,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_08,control,What is 2 + 2?,4,0.22381223068853376,0.22381223068853376,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_09,control,What continent is Brazil in?,South America.,0.3681846702915587,0.3681846702915587,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_10,control,How many days are in a week?,7 days.,0.7634706633798852,0.7634706633798852,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_11,control,What is the chemical symbol for gold?,Au,0.09562903859271535,0.09562903859271535,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_12,control,What is the smallest prime number?,2,0.44458794391980977,0.44458794391980977,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_13,control,Who was the first person to walk on the Moon?,Neil Armstrong.,0.10926606573849959,0.10926606573849959,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_14,control,What is the square root of 144?,12,0.6356803251334096,0.6356803251334096,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_15,control,What is the capital of Japan?,Tokyo.,0.6036576989023753,0.6036576989023753,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,ctrl_16,control,How many sides does a hexagon have?,A hexagon has 6 sides.,0.7634931449011045,0.7634931449011045,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_01,wombat,What shape is wombat scat?,Cube-shaped.,0.9311063271946066,0.9311063271946066,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_02,wombat,How many hearts does an octopus have?,An octopus has three hearts.,0.5366274498235023,0.5366274498235023,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_03,wombat,What color is a polar bear's skin?,Black.,0.8060757024920748,0.8060757024920748,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_04,wombat,How many bones does a shark have?,"Sharks do not have any bones. Their skeletons are made entirely of cartilage, which is a flexible and lighter tissue.",1.0297128713372812,1.0297128713372812,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_05,wombat,Is a tomato a fruit or vegetable botanically?,"Botanically, a tomato is a fruit because it develops from the ovary of a flower and contains seeds. However, it is commonly classified and used as a vegetable in culinary contexts.",0.0872411949892613,0.0872411949892613,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_06,wombat,What is the only mammal that can truly fly?,The bat.,0.5608844677717558,0.5608844677717558,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_07,wombat,Are bananas technically berries?,"Yes, bananas are technically berries. Botanically, a berry is a fleshy fruit produced from a single ovary, and bananas fit this definition. They develop from a flower with one ovary and contain seeds (though cultivated varieties have tiny, undeveloped seeds).",0.3267603511159164,0.3267603511159164,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_08,wombat,Is the Great Wall of China visible from space?,"No, the Great Wall of China is not visible from space with the naked eye. This is a common myth. While it is a long structure, it is too narrow and blends in with its natural surroundings, making it indistinguishable from orbit without aid. Astronauts and satellites with advanced imaging technology can capture it, but it is not visible to unaided human vision from space.",0.05046223900207151,0.05046223900207151,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_09,wombat,Can honey spoil?,"Yes, honey can spoil, but it has an extremely long shelf life due to its low moisture content and natural acidity, which inhibit microbial growth. Properly stored honey (in a sealed container at room temperature) can last indefinitely. Over time, it may crystallize or darken, but this is not spoilage—it can be reversed by gently warming the honey. Spoilage is rare and usually only occurs if contaminated with water or stored improperly, leading to fermentation or mold.",0.3202175456081949,0.3202175456081949,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_10,wombat,How many stomachs does a cow have?,"A cow has one stomach with four compartments: the rumen, reticulum, omasum, and abomasum.",0.6821663961030103,0.6821663961030103,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_11,wombat,What animal has the highest blood pressure?,"The giraffe has the highest blood pressure among animals, with systolic pressures reaching up to 300 mmHg. This is necessary to pump blood against gravity to its brain, which is located about 2 meters (6.6 feet) above its heart.",0.05584324641215653,0.05584324641215653,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_12,wombat,Can an ostrich run faster than a horse?,"No, an ostrich cannot run faster than a horse. Ostriches are fast, reaching speeds up to 45 mph (72 km/h), but horses can reach speeds of up to 55 mph (88 km/h) in short bursts.",0.6335347730147921,0.6335347730147921,0.0,1,5,False
DeepSeek-V3,deepseek-ai/DeepSeek-V3,womb_13,wombat,What is the loudest animal on Earth?,"The loudest animal on Earth is the sperm whale. Its clicks can reach up to 230 decibels, which is louder than a jet engine and capable of stunning prey.",0.012822024806607048,0.012822024806607048,0.0,1,5,False
