category,label,query,response,mean_entropy,max_entropy,std_entropy,n_tokens,axis_projection,self_report_confidence
knowable,0,What is the capital of France?,The capital of France is Paris.,0.0002732511800151629,0.002101883990690112,0.0006914791792457733,8,2.865016222000122,0.0
knowable,0,What year did World War II end?,World War II ended in 1945.,8.241015158765946e-05,0.0009130612015724182,0.0002507551095247923,12,2.6696560382843018,1.0
knowable,0,What is the chemical formula for water?,The chemical formula for water is H₂O.,0.03616923189864658,0.3919830620288849,0.11253066651514884,11,3.87343692779541,0.0
knowable,0,Who wrote Romeo and Juliet?,William Shakespeare wrote *Romeo and Juliet*.,0.0073475140656075084,0.045720454305410385,0.014520942323389253,11,1.2027379274368286,0.0
knowable,0,What is the largest planet in our solar system?,The largest planet in our solar system is Jupiter.,0.0002867495361768797,0.0019340794533491135,0.0006195749416832462,11,3.3898367881774902,0.0
knowable,0,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,0.006717449130774567,0.06416310369968414,0.01915746359313486,10,1.1759140491485596,0.0
knowable,0,What is the speed of light approximately?,"The speed of light in a vacuum is approximately **299,792,458 meters per second**.",0.007120457719154154,0.16954948008060455,0.03210945453503892,27,3.1089935302734375,1.0
knowable,0,What is 2 + 2?,2 + 2 = 4.,0.00021300199299509827,0.0016826663631945848,0.0005224918873335888,9,3.224438190460205,0.02
knowable,0,What continent is Brazil in?,Brazil is in South America.,0.012158472466892676,0.0846722200512886,0.02960388849337008,7,2.5869791507720947,0.0
knowable,0,How many days are in a week?,There are 7 days in a week.,0.016383899794903834,0.163692906498909,0.049103020379063146,10,3.0825750827789307,0.07
unknowable,1,Summarize Dr. Yuki Tanaka's 2023 paper on Recursive Self-Modeling.,"As of now, there is no publicly available, peer-reviewed paper by Dr. Yuki Tanaka on ""Recursive Self-Modeling"" from 2023 in major academic databases or reputable scientific journals. It is possible that the reference is mistaken, misattributed, or refers to a preprint, conference abstract, or work n",0.3405330463026065,1.5124574899673462,0.4169117103458703,113,5.302138328552246,1.0
unknowable,1,What is the Brennan-Kowalski theorem in information theory?,"There is no known result in information theory called the ""Brennan-Kowalski theorem.""

It is possible there is a confusion with the names or a misstatement. In information theory, well-known theorems include the Shannon-Hartley theorem, the noisy-channel coding theorem, and the data processing inequ",0.25945123726623776,1.5054712295532227,0.36142604096003733,100,4.580145835876465,0.0
unknowable,1,Describe the 1994 Treaty of Westphalia II.,"There is no such thing as a ""1994 Treaty of Westphalia II."" The Treaty of Westphalia, historically, refers to a series of peace treaties signed in 1648 that ended the Thirty Years' War in Europe and are often considered the foundation of the modern state system. There was no major international trea",0.22425692532507221,2.092289447784424,0.36686366228739165,150,1.6772433519363403,1.0
unknowable,1,What were the outcomes of the 2021 Kyoto Protocol II?,"There was no ""Kyoto Protocol II."" The Kyoto Protocol, adopted in 1997, had two main phases: the first commitment period (1998–2008) and a second commitment period that was never formally adopted or implemented. The second phase was proposed but ultimately not ratified by key countries, including the",0.38152535387793907,2.3057186603546143,0.5200468214805581,114,3.232881546020508,1.0
unknowable,1,Summarize the Lindquist Effect in transformer attention.,"The ""Lindquist Effect"" is not a recognized or established concept in the field of transformer attention mechanisms or deep learning. It may be a confusion or misstatement. There is no widely cited or peer-reviewed research in transformer models or attention mechanisms that refers to the ""Lindquist E",0.38187525354511637,2.733842372894287,0.5544117621909734,110,4.569827079772949,0.0
unknowable,1,What is the Okonkwo-Patel framework for model uncertainty?,"There is no established or widely recognized framework called the ""Okonkwo-Patel framework for model uncertainty.""

It is possible there is a confusion or mix-up with names. Okonkwo and Patel are individuals who have contributed to fields such as machine learning or uncertainty quantification, but n",0.33491340132575304,2.001511573791504,0.4834908359870187,125,5.221490383148193,0.0
unknowable,1,Describe the Marchetti Protocol for neural network pruning.,"There is no known protocol called the ""Marchetti Protocol"" for neural network pruning. It is possible there is a confusion or a mix-up with a different term or concept.

Neural network pruning typically refers to the process of removing redundant or less important connections (weights) in a neural n",0.3608988568304288,3.497596263885498,0.5464704381230165,150,5.068750381469727,0.0
unknowable,1,What were the findings of the 2022 Helsinki AI Safety Accord?,"There was no ""2022 Helsinki AI Safety Accord."" The term may be a confusion or misinformation. In 2022, the European Union and other countries did not issue a formal agreement known as the ""Helsinki AI Safety Accord.""

However, in 2022, the European Union launched the ""EU AI Act,"" which aims to estab",0.5050077590246137,2.5065314769744873,0.5990416227534071,150,4.914160251617432,1.0
unknowable,1,Summarize Prof. Elena Vasquez's book 'Minds Without Brains'.,"There is no known book titled *Minds Without Brains* by Professor Elena Vasquez. It is possible there is a confusion with the author or title. Elena Vasquez is not a widely recognized academic in philosophy of mind or related fields, and no authoritative publication with that title exists in major a",0.3318000419515273,2.8354759216308594,0.54008028772256,114,4.101493835449219,0.0
unknowable,1,What is the Fibonacci Resonance Hypothesis in cognitive science?,"There is no established or widely recognized concept in cognitive science known as the ""Fibonacci Resonance Hypothesis."" The Fibonacci sequence, while prevalent in mathematics and nature (e.g., in growth patterns and phyllotaxis), has not been substantiated as a foundational principle in cognitive s",0.31997182134954794,2.0929501056671143,0.48100700330627927,146,4.929563999176025,0.0
