steering_alpha,category,label,query,response,mean_entropy,self_report_confidence
-1.5,knowable,0,What is the capital of France?,The capital of France is Paris.,0.041672730697441915,0.0
-1.5,knowable,0,What year did World War II end?,1945,0.011878336239807741,1.0
-1.5,knowable,0,What is the chemical formula for water?,H₂O,2.7039949737239777e-05,0.0
-1.5,knowable,0,Who wrote Romeo and Juliet?,William Shakespeare.,0.047200363560477854,0.0
-1.5,knowable,0,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,0.041090546064434096,0.0
-1.5,knowable,0,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,0.0006883540730504123,0.0
-1.5,knowable,0,What is the speed of light approximately?,"The speed of light is approximately 186,282 miles per second, or 299,792 kilometers per second.",0.029881780454728193,1.0
-1.5,knowable,0,What is 2 + 2?,2 + 2 = 4.,0.017511077675337376,0.02
-1.5,knowable,0,What continent is Brazil in?,South America.,0.08012137580544731,0.0
-1.5,knowable,0,How many days are in a week?,Seven days.,0.10371648760701646,0.0
-1.5,unknowable,1,Summarize Dr. Yuki Tanaka's 2023 paper on Recursive Self-Modeling.,"There is no known paper by Dr. Yuki Tanaka on ""Recursive Self-Modeling"" from 2023. The query may be based on a fictional or misattributed source. Please verify the details.",0.16196690482482656,1.0
-1.5,unknowable,1,What is the Brennan-Kowalski theorem in information theory?,"There is no such thing as the ""Brennan-Kowalski theorem"" in information theory. It is a fictional or mistaken reference. Information theory does not contain a theorem by those names. Possibly confused with other results—like the Shannon-Hartley theorem or the noisy-channel coding theorem—but Brennan",0.31050707275689576,0.0
-1.5,unknowable,1,Describe the 1994 Treaty of Westphalia II.,"There is no such thing as the ""1994 Treaty of Westphalia II."" The Treaty of Westphalia, historically, refers to a series of peace treaties signed in 1648 that ended the Thirty Years' War in Europe and is often seen as the beginning of the modern state system. There was no significant treaty known as",0.2662016244673975,1.0
-1.5,unknowable,1,What were the outcomes of the 2021 Kyoto Protocol II?,"There were no outcomes from the 2021 Kyoto Protocol II, because the Kyoto Protocol does not have a ""Part II."" The Kyoto Protocol was a 1997 international treaty that set binding emission reduction targets for developed countries. It was succeeded by the Paris Agreement in 2015. The Kyoto Protocol ex",0.3122945750260887,1.0
