query,entropy,is_unknowable,response
What is the capital of France?,0.0002732511800151629,False,The capital of France is Paris.
Who wrote Romeo and Juliet?,0.0073475140656075084,False,William Shakespeare wrote *Romeo and Juliet*.
What year did World War II end?,8.241015158765946e-05,False,World War II ended in 1945.
What is the chemical symbol for gold?,0.01563638007827661,False,The chemical symbol for gold is Au.
Who painted the Mona Lisa?,0.006717449130774567,False,Leonardo da Vinci painted the Mona Lisa.
What is the largest planet in our solar system?,0.0002867495361768797,False,The largest planet in our solar system is Jupiter.
What is the speed of light in a vacuum?,0.0018825523559139934,False,"The speed of light in a vacuum is exactly **299,792,458 meters per second**."
Who developed the theory of general relativity?,0.012057232738448135,False,Albert Einstein developed the theory of general relativity.
What is the boiling point of water at sea level?,0.03282776599110777,False,The boiling point of water at sea level is 100°C (212°F).
What is the largest ocean on Earth?,0.0005256100962475701,False,The largest ocean on Earth is the Pacific Ocean.
Who was the first person to walk on the moon?,0.04350312109308593,False,The first person to walk on the Moon was Neil Armstrong. He stepped onto the lunar surface on July 2
What is the capital of Japan?,0.00018403036060439873,False,The capital of Japan is Tokyo.
What element has atomic number 6?,0.011169210425412713,False,The element with atomic number 6 is carbon.
Who wrote 1984?,0.016271063760674755,False,George Orwell wrote *1984*.
What is the tallest mountain on Earth?,0.07084879021039192,False,"The tallest mountain on Earth is Mount Everest. It stands at 8,848.86 meters (29,031.7 feet) above s"
What year did the Berlin Wall fall?,0.0024327646849898097,False,The Berlin Wall fell in 1989.
What is the chemical formula for water?,0.03616923189864658,False,The chemical formula for water is H₂O.
Who discovered penicillin?,0.012318830807479211,False,Alexander Fleming discovered penicillin in 1929.
What is the smallest prime number?,0.0006891988787271,False,The smallest prime number is **2**.
What continent is Egypt in?,0.06982156551038532,False,Egypt is in Africa.
Who composed the Four Seasons?,0.0880431784248993,False,The *Four Seasons* was composed by Antonio Vivaldi.
What is the currency of the United Kingdom?,0.14653972397039716,False,The currency of the United Kingdom is the British Pound Sterling.
What is the largest mammal?,0.02032951775090286,False,The largest mammal is the blue whale.
Who invented the telephone?,0.14763097811297332,False,The telephone was invented by Alexander Graham Bell. He received the first U.S. patent for the telep
What is the freezing point of water in Celsius?,0.007406734570994281,False,The freezing point of water in Celsius is 0°C.
What planet is known as the Red Planet?,0.06888845183752337,False,Mars is known as the Red Planet.
Who wrote Pride and Prejudice?,0.049480126440500725,False,Pride and Prejudice was written by Jane Austen.
What is the square root of 144?,0.019883673004669474,False,The square root of 144 is **12**.
What is the capital of Australia?,6.0327519305333754e-05,False,The capital of Australia is Canberra.
Who painted Starry Night?,0.001891979243566766,False,Vincent van Gogh painted *Starry Night*.
What year did the Titanic sink?,0.04087367665019101,False,The Titanic sank in 1912.
What is the atomic number of hydrogen?,0.0008623675156947386,False,The atomic number of hydrogen is 1.
Who wrote The Great Gatsby?,0.008191176635914843,False,F. Scott Fitzgerald wrote *The Great Gatsby*.
What is the longest river in the world?,0.08871680584351274,False,"The longest river in the world is the Nile River. It stretches approximately 6,650 kilometers (4,130"
What is the capital of Canada?,7.17850477287979e-06,False,The capital of Canada is Ottawa.
Who discovered gravity?,0.09027842559910393,False,"Gravity was not ""discovered"" by a single person, but it was formally described by Sir Isaac Newton i"
What is the largest desert on Earth?,0.10286762791554468,False,"The largest desert on Earth is the Antarctic Desert. Despite being covered in ice and snow, it is cl"
What year was the Declaration of Independence signed?,0.0008299492824490468,False,The Declaration of Independence was signed in 1776.
What is the chemical symbol for sodium?,0.0014663876931074198,False,The chemical symbol for sodium is Na.
Who wrote Hamlet?,0.004826550078789182,False,William Shakespeare wrote *Hamlet*.
What is the capital of Germany?,0.0007627803624435138,False,The capital of Germany is Berlin.
What is the speed of sound in air?,0.06127977904280723,False,The speed of sound in dry air at 20°C (68°F) is approximately **343 meters per second** (m/s). This 
Who invented the light bulb?,0.24756585936150874,False,Thomas Edison is widely credited with inventing the practical incandescent light bulb in the late 19
What is the largest country by area?,0.0009355026287940246,False,The largest country by area is Russia.
What year did humans first land on the moon?,0.09439875283535905,False,Humans first landed on the Moon in 1969. The Apollo 11 mission successfully landed on the Moon on Ju
What is the atomic symbol for iron?,0.0008028448909480192,False,The atomic symbol for iron is Fe.
Who wrote The Odyssey?,0.00935938750933459,False,The Odyssey was written by the ancient Greek poet Homer.
What is the capital of Italy?,4.7360851136352133e-05,False,The capital of Italy is Rome.
What is the value of pi to two decimal places?,0.03310011430638123,False,The value of pi to two decimal places is 3.14.
Who discovered DNA structure?,0.19478120798504642,False,James Watson and Francis Crick discovered the double helix structure of DNA in 1953. Their work was 
