question_idx,label,type,mean_entropy,max_entropy,entropy_std,mean_logprob,mean_top5_mass,perplexity
0,0,correct,1.6188711,4.668805,1.4246039,-3.1267672750450997,0.85518163,22.800146102905273
0,1,incorrect,1.6792591,4.668805,1.4210943,-4.157415752574294,0.8509415,63.906166076660156
1,0,correct,1.3099725,4.120586,1.3387485,-2.892465059097637,0.8933915,18.0377197265625
1,1,incorrect,1.3958478,3.6711988,1.1523873,-3.449346423880862,0.8961432,31.47980499267578
2,0,correct,0.90763235,3.2025397,0.9732177,-3.756950365446518,0.9484876,42.81764602661133
2,1,incorrect,0.8802597,3.2025397,1.0112602,-2.564976580537318,0.94508463,13.00035572052002
3,0,correct,1.4168032,4.52384,1.2647728,-2.2920098765734047,0.88298225,9.894804954528809
3,1,incorrect,1.3822318,4.52384,1.2941108,-2.336324645204345,0.8842781,10.34315299987793
4,0,correct,1.2783045,4.1516705,1.1707705,-2.423291618322706,0.89507824,11.282938003540039
4,1,incorrect,1.3937176,4.1516705,1.1766979,-2.2952308356761932,0.8883768,9.926728248596191
5,0,correct,1.2505149,3.6122267,1.09725,-3.8467820012986826,0.91487604,46.84208297729492
5,1,incorrect,1.2637846,5.2266035,1.317749,-3.5532417198830024,0.909545,34.92635726928711
6,0,correct,1.5395736,5.4411983,1.4215614,-3.284020728096366,0.8765755,26.68284034729004
6,1,incorrect,1.4474198,5.4411983,1.4677534,-3.6536231917207656,0.88438797,38.614315032958984
7,0,correct,1.263211,5.698445,1.3451874,-2.0856908502655642,0.89570075,8.050150871276855
7,1,incorrect,1.0331032,5.69844,1.3627818,-1.7239196526840963,0.9123353,5.6064605712890625
8,0,correct,1.2160065,5.2854357,1.3430132,-2.3057407746766696,0.90096176,10.031607627868652
8,1,incorrect,1.1656874,5.2854357,1.3546789,-2.0767756143643057,0.90197766,7.978701114654541
9,0,correct,0.93869317,3.2025397,0.96946883,-2.1229000846629704,0.94650275,8.355335235595703
9,1,incorrect,0.9203932,3.2025397,0.94250983,-2.943881614687123,0.9472484,18.989412307739258
10,0,correct,0.75206417,7.1085386,1.4163427,-2.187372595750649,0.9425093,8.911766052246094
10,1,incorrect,0.74976736,7.1085386,1.414333,-1.8349179533194533,0.9427322,6.264620780944824
11,0,correct,1.349355,7.1330905,1.6519886,-2.375866103424241,0.8861918,10.760327339172363
11,1,incorrect,1.3563328,7.1330905,1.6570547,-2.47336797061373,0.8875983,11.86233139038086
12,0,correct,0.84110135,4.918519,1.2538631,-1.6577334140960087,0.9344274,5.2474045753479
12,1,incorrect,0.96193683,4.918519,1.3153014,-1.6939118673461862,0.9179463,5.440722942352295
13,0,correct,1.4871778,5.8169622,1.4463681,-2.0438116900872307,0.88327223,7.7199788093566895
13,1,incorrect,1.3832401,5.8169622,1.464211,-2.573746050870576,0.88823754,13.114860534667969
14,0,correct,1.1408871,5.067542,1.242796,-1.6780607197617687,0.9132422,5.355160713195801
14,1,incorrect,0.94091123,5.067542,1.2207316,-1.7306761149062146,0.9236956,5.644469261169434
15,0,correct,1.2038316,3.2012477,0.8846999,-2.609951451854847,0.92780566,13.59839153289795
15,1,incorrect,1.3185676,3.2012477,0.94169754,-2.7325221162263915,0.91244787,15.37160587310791
16,0,correct,1.3531402,4.1302795,1.2086412,-2.450986758911782,0.88594836,11.599785804748535
16,1,incorrect,1.2794433,4.128151,1.2069012,-2.4903386364103426,0.89500684,12.065363883972168
17,0,correct,1.4677165,4.551421,1.2014234,-2.919546707963141,0.88168055,18.532888412475586
17,1,incorrect,1.4423668,4.551421,1.1962414,-2.792638855132585,0.8847955,16.324037551879883
18,0,correct,1.2864561,4.1302795,1.1911724,-2.4525301424083326,0.9064653,11.617704391479492
18,1,incorrect,1.1707921,4.1302795,1.132927,-2.773594500304898,0.92348105,16.016098022460938
19,0,correct,1.7845398,3.4736567,1.2168769,-3.0477369858631898,0.8361923,21.067615509033203
19,1,incorrect,1.4144653,3.4736567,1.3083651,-2.5143607399738603,0.86576056,12.358704566955566
20,0,correct,1.510722,5.938985,1.6370386,-2.5674007796032097,0.86722666,13.031907081604004
20,1,incorrect,1.6526166,5.938985,1.6782848,-3.054003732296853,0.8498021,21.200054168701172
21,0,correct,1.580587,5.6552258,1.7111707,-1.6289907173348224,0.8527625,5.098726749420166
21,1,incorrect,1.4999523,5.6552258,1.7071551,-1.8141075187137972,0.8597331,6.135597229003906
22,0,correct,1.3462809,3.7772708,1.2120457,-1.9948893290678218,0.8921133,7.351388931274414
22,1,incorrect,1.198837,3.7772708,1.2080497,-1.936773691040192,0.90231454,6.936336040496826
23,0,correct,1.2357517,6.71799,1.3884062,-2.8956525824058836,0.9080117,18.095304489135742
23,1,incorrect,1.2367035,6.71799,1.3789811,-2.570017441909048,0.90884113,13.066051483154297
24,0,correct,1.411127,6.927431,1.5176018,-2.7060747559105125,0.8860715,14.9704008102417
24,1,incorrect,1.3138298,3.784284,1.2628498,-1.8802745047838032,0.8948379,6.555304050445557
25,0,correct,1.6175592,4.6097794,1.1551635,-3.4782219873117617,0.87723315,32.40205764770508
25,1,incorrect,1.241436,4.6097794,1.1465368,-2.0406195523650643,0.9083553,7.695374011993408
26,0,correct,1.422761,6.675892,1.6943988,-2.0394555741570386,0.87871015,7.686422348022461
26,1,incorrect,1.3958819,6.683635,1.7498779,-2.416243748520848,0.8759766,11.203697204589844
27,0,correct,0.95870733,5.075816,1.2994667,-1.940293751877854,0.9239479,6.960794925689697
27,1,incorrect,0.9922792,5.075816,1.3092706,-1.971044850501488,0.92134297,7.178173065185547
28,0,correct,1.2181823,4.742984,1.318106,-2.135452207921697,0.90331715,8.460872650146484
