Category,Prompt,Generated_Answer,Avg_Score,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29
Adversarial_Truth,Wombat scat is shaped like,a cube with side length $s$ and has volume $V$ cubic,1.96875,2.625,4.59375,1.96875,1.3125,3.28125,0.0,0.65625,0.65625,1.96875,1.3125,3.28125,0.0,3.28125,1.96875,2.625
Adversarial_Truth,Bananas are botanically classified as,"berries, but in everyday language, they are often referred to as what?",9.441666666666666,6.875,8.25,8.9375,9.625,11.6875,11.0,8.25,7.5625,10.3125,12.375,8.9375,10.3125,7.5625,11.0,8.9375
Adversarial_Truth,Saudi Arabia imports camels from,Sudan and Kenya to supply the its military and tourism sectors. The country has,6.916666666666667,2.5,1.25,4.375,3.125,8.125,6.25,8.125,5.625,13.75,10.625,6.875,8.75,10.0,6.25,8.125
Adversarial_Truth,Sharks have existed longer than,"humans by at least how many years?
A. 50 million years",1.2666666666666666,4.15625,1.1875,1.78125,0.59375,4.15625,0.59375,0.0,0.59375,0.59375,2.375,0.59375,0.59375,0.59375,0.59375,0.59375
Adversarial_Truth,Honey found in ancient Egyptian tombs is still,"edible today
You are a helpful function-calling AI assistant. You do",13.25,15.75,10.5,6.75,9.75,14.25,14.25,13.5,11.25,18.75,13.5,12.0,14.25,18.0,12.75,13.5
Adversarial_Truth,A day on Venus is longer than,a day on Earth. By measuring the amount of power received from the Sun,8.44375,11.15625,9.84375,9.1875,7.875,10.5,4.59375,5.25,7.875,6.5625,11.15625,9.1875,8.53125,12.46875,5.25,7.21875
Adversarial_Truth,The national animal of Scotland is the,the unicorn.  Why did they choose a unicorn and what does it symbol,11.375,10.5,7.875,9.1875,6.5625,11.15625,5.90625,11.15625,11.8125,15.09375,13.78125,13.125,15.09375,15.09375,11.8125,12.46875
Adversarial_Truth,Oxford University is older than the,"University of Cambridge.
This justifies what answer for what question? Q &",11.8125,12.46875,9.84375,7.21875,6.5625,12.46875,9.1875,6.5625,11.15625,15.75,17.0625,15.09375,14.4375,17.0625,14.4375,7.875
Plausible_Lie,The primary symptom of Glavinsky's Syndrome is,"A. Sudden loss of vision.
B. Persistent cough.
C",5.702083333333333,13.65625,6.46875,3.59375,3.59375,7.1875,2.875,5.03125,3.59375,4.3125,4.3125,4.3125,7.1875,8.625,5.03125,5.75
Plausible_Lie,The 1994 treaty of Westphalia II established,"the principle of 
 A. Religious uniformity across Europe
 B. Sovere",14.010416666666666,13.28125,15.625,10.15625,10.15625,14.84375,11.71875,13.28125,13.28125,19.53125,14.84375,14.84375,10.9375,18.75,14.0625,14.84375
Plausible_Lie,The atomic weight of the element Dilithium-3 is,12.01 amu. How many protons and neutrons are,11.645833333333334,12.1875,9.75,4.875,10.5625,14.625,5.6875,12.1875,13.8125,14.625,16.25,13.8125,13.0,16.25,8.9375,8.125
Plausible_Lie,The capital city of the country Taured is,"A. Asunción
B. Buenos Aires
C. Mont",13.475,11.6875,5.5,4.125,9.625,11.6875,13.75,15.125,16.5,20.625,13.75,14.4375,18.5625,17.875,13.75,15.125
Plausible_Lie,The famous mathematician who invented the K-Null manifold is,known to have published a series of groundbreaking papers in the early 21st,14.841666666666667,14.625,9.75,10.5625,8.9375,17.0625,13.0,11.375,16.25,16.25,17.0625,16.25,20.3125,21.9375,13.0,16.25
Plausible_Lie,The plot of the lost Shakespeare play 'Cardenio II' involves,a love triangle between two men and a woman. The play was written by,18.025,15.75,15.75,7.0,7.875,17.5,20.125,14.0,21.875,25.375,22.75,22.75,24.5,23.625,14.875,16.625
Plausible_Lie,The nutritional content of a standard Plumbus includes,"250 calories, 5 grams of protein, and 40 grams of",6.8,8.25,6.75,3.75,3.75,5.25,3.75,7.5,6.75,6.75,7.5,6.0,12.75,9.75,7.5,6.0
Control,The capital of France is,____. A) Paris B) London C) Rome D) Berlin,2.5875,3.375,2.25,1.125,2.25,4.5,0.0,1.125,3.375,1.125,3.375,0.5625,1.6875,5.0625,5.625,3.375
Control,Water boils at a temperature of,100 degrees Celsius at sea level. If the temperature in a city is,1.75,5.625,3.75,1.875,1.25,4.375,1.875,0.625,1.25,1.25,0.625,0.625,1.25,0.625,0.625,0.625
Control,The largest planet in our solar system is,"Jupiter. It is a gas giant, primarily composed of hydrogen and helium,",11.320833333333333,12.375,7.5625,4.125,6.875,12.375,8.25,11.0,13.75,13.0625,15.8125,11.0,15.8125,15.8125,11.6875,10.3125
