query,is_knowable,label,csv_mean_entropy,semantic_entropy,num_clusters,cluster_sizes,num_samples,gen_time_s,cluster_time_s,response_0,response_1,response_2
What is the capital of France?,True,0,0.0002732511800151,-1.000088900581841e-12,1,[10],10,5.565444469451904,0.16756916046142578,The capital of France is Paris.,The capital of France is Paris.,The capital of France is Paris.
What is the capital of Japan?,True,0,0.0001840303606043,-1.000088900581841e-12,1,[10],10,3.6355974674224854,0.01108098030090332,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.
What is the capital of Australia?,True,0,6.032751930533376e-05,-1.000088900581841e-12,1,[10],10,3.7109427452087402,0.011264324188232422,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.
What is the capital of Canada?,True,0,7.17850477287979e-06,-1.000088900581841e-12,1,[10],10,3.621450424194336,0.011019229888916016,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.
What is the capital of Germany?,True,0,0.0007627803624435,-1.000088900581841e-12,1,[10],10,3.6098523139953613,0.01105642318725586,The capital of Germany is Berlin.,The capital of Germany is Berlin.,The capital of Germany is Berlin.
What is the capital of Italy?,True,0,4.736085113635213e-05,-1.000088900581841e-12,1,[10],10,3.6134464740753174,0.011663436889648438,The capital of Italy is Rome.,The capital of Italy is Rome.,The capital of Italy is Rome.
What is the capital of Brazil?,True,0,0.0004994094371713,-1.000088900581841e-12,1,[10],10,4.004193305969238,0.009739160537719727,The capital of Brazil is Brasília.,The capital of Brazil is Brasília.,The capital of Brazil is Brasília.
What is the capital of Egypt?,True,0,1.1271742636861926e-05,-1.000088900581841e-12,1,[10],10,3.6187961101531982,0.01131296157836914,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.,The capital of Egypt is Cairo.
What is the capital of South Korea?,True,0,0.000729123910775,-1.000088900581841e-12,1,[10],10,4.055663347244263,0.011875629425048828,The capital of South Korea is Seoul.,The capital of South Korea is Seoul.,The capital of South Korea is Seoul.
What is the capital of Mexico?,True,0,0.0004341105786485,-1.000088900581841e-12,1,[10],10,4.1299519538879395,0.01099252700805664,The capital of Mexico is Mexico City.,The capital of Mexico is Mexico City.,The capital of Mexico is Mexico City.
What is the largest ocean on Earth?,True,0,0.0005256100962475,-1.000088900581841e-12,1,[10],10,5.05220103263855,0.01283717155456543,The largest ocean on Earth is the Pacific Ocean.,The largest ocean on Earth is the Pacific Ocean.,The largest ocean on Earth is the Pacific Ocean.
What continent is Brazil in?,True,0,0.0121584724668926,-1.000088900581841e-12,1,[10],10,3.2983899116516113,0.012665033340454102,Brazil is in South America.,Brazil is in South America.,Brazil is in South America.
What is the longest river in the world?,True,0,0.0887168058435127,-1.000088900581841e-12,1,[10],10,20.32395362854004,0.015571117401123047,"The longest river in the world is the Nile River. It flows through northeastern Africa and is approximately 6,650 kilometers (4,130 miles) long.","The longest river in the world is the Nile River. It flows through northeastern Africa and is approximately 6,650 kilometers (4,130 miles) long. While there is some debate about whether the Amazon or the Nile is the longest, the Nile is widely recognized as the longest river based on most measuremen","The longest river in the world is the Nile River. It flows through northeastern Africa and is approximately 6,650 kilometers (4,130 miles) long."
What is the largest desert on Earth?,True,0,0.1028676279155446,-1.000088900581841e-12,1,[10],10,34.923728704452515,0.022325515747070312,"The largest desert on Earth is the Antarctic Desert. Despite its name, it is not a desert in the traditional sense of hot, sandy deserts. Instead, it is classified as a polar desert due to its extremely cold temperatures and low precipitation. It covers about 14 million square kilometers (5.4 millio","The largest desert on Earth is the Antarctic Desert. While it is not known for its sand dunes like the Sahara, it is classified as a desert because it receives very little precipitation—less than 200 millimeters (8 inches) per year in most areas. In fact, Antarctica is the largest desert by area, co","The largest desert on Earth is the Antarctic Desert. Despite its icy appearance, it is classified as a desert because it receives very little precipitation. It covers about 14 million square kilometers (5.4 million square miles), making it the largest desert by area."
What is the smallest continent by area?,True,0,0.1256116434836935,-1.000088900581841e-12,1,[10],10,21.669397354125977,0.014309883117675781,"The smallest continent by area is Australia. Despite being often considered a country, Australia is also recognized as a continent. It has an area of about 7.7 million square kilometers, making it the smallest continent in the world.","The smallest continent by area is Australia. Although it is often considered a country, it is also recognized as a continent. It has an area of about 7.7 million square kilometers (3 million square miles), making it the smallest continent in the world.","The smallest continent by area is Australia. Despite being often considered a country, Australia is also recognized as a continent. It has an area of about 7.7 million square kilometers, making it the smallest continent in the world."
What is the highest waterfall in the world?,True,0,0.2710374367132268,-1.000088900581841e-12,1,[10],10,33.562647104263306,0.015318870544433594,"The highest waterfall in the world is **Angel Falls (Salto Ángel)** in Venezuela. It has a total height of **807 meters (2,648 feet)**, with a plunge of **807 meters** from the top of a cliff to the river below. It is recognized as the tallest uninterrupted waterfall in the world.","The highest waterfall in the world is Angel Falls (Salto Ángel) in Venezuela. It has a total height of 807 meters (2,648 feet), with a free fall of 807 meters (2,648 feet) from the top of Auyán-tepui to the river below. It is recognized as the highest uninterrupted waterfall in the world.","The highest waterfall in the world is **Angel Falls (Salto Ángel)** in Venezuela. It has a total height of **807 meters (2,648 feet)**, with a free fall of **807 meters** (the longest uninterrupted drop). It is located in the Canaima National Park and is considered the tallest waterfall in the world"
What country has the most people?,True,0,0.1615171153139461,-1.000088900581841e-12,1,[10],10,10.653971195220947,0.01210641860961914,China has the most people.,China has the most people.,China has the most people.
What is the largest country by area?,True,0,0.000935502628794,-1.000088900581841e-12,1,[10],10,4.101767063140869,0.010071277618408203,The largest country by area is Russia.,The largest country by area is Russia.,The largest country by area is Russia.
What ocean lies between Europe and North America?,True,0,0.052402569969127,-1.000088900581841e-12,1,[10],10,6.1924238204956055,0.011745691299438477,The ocean that lies between Europe and North America is the Atlantic Ocean.,The ocean that lies between Europe and North America is the Atlantic Ocean.,The Atlantic Ocean lies between Europe and North America.
On which continent is the Sahara Desert?,True,0,0.0892207021224906,0.5004024235361879,2,"[8, 2]",10,3.418468713760376,0.012622356414794922,The Sahara Desert is located in Africa.,The Sahara Desert is located in Africa.,Africa
What is the chemical formula for water?,True,0,0.0361692318986465,0.32508297338944825,2,"[9, 1]",10,4.537954568862915,0.010650157928466797,The chemical formula for water is H₂O.,The chemical formula for water is H₂O.,The chemical formula for water is H₂O.
What is the speed of light in a vacuum?,True,0,0.0018825523559139,-1.000088900581841e-12,1,[10],10,12.195352792739868,0.014257431030273438,"The speed of light in a vacuum is exactly **299,792,458 meters per second**.","The speed of light in a vacuum is exactly **299,792,458 meters per second**.","The speed of light in a vacuum is exactly **299,792,458 meters per second**."
What is the boiling point of water at sea level in Celsius?,True,0,0.0037666948757397,-1.000088900581841e-12,1,[10],10,7.943995952606201,0.010859251022338867,The boiling point of water at sea level in Celsius is 100°C.,The boiling point of water at sea level in Celsius is 100°C.,The boiling point of water at sea level in Celsius is 100°C.
What is the chemical symbol for gold?,True,0,0.0156363800782766,-1.000088900581841e-12,1,[10],10,3.9669034481048584,0.01099252700805664,The chemical symbol for gold is Au.,The chemical symbol for gold is Au.,The chemical symbol for gold is Au.
What is the atomic number of hydrogen?,True,0,0.0008623675156947,-1.000088900581841e-12,1,[10],10,4.39281964302063,0.011562824249267578,The atomic number of hydrogen is 1.,The atomic number of hydrogen is 1.,The atomic number of hydrogen is 1.
What is the chemical symbol for sodium?,True,0,0.0014663876931074,-1.000088900581841e-12,1,[10],10,4.111328840255737,0.011999845504760742,The chemical symbol for sodium is Na.,The chemical symbol for sodium is Na.,The chemical symbol for sodium is Na.
What is the atomic symbol for iron?,True,0,0.000802844890948,-1.000088900581841e-12,1,[10],10,4.1029112339019775,0.011563301086425781,The atomic symbol for iron is Fe.,The atomic symbol for iron is Fe.,The atomic symbol for iron is Fe.
What is the freezing point of water in Celsius?,True,0,0.0074067345709942,-1.000088900581841e-12,1,[10],10,5.796262502670288,0.009465932846069336,The freezing point of water in Celsius is 0°C.,The freezing point of water in Celsius is 0°C.,The freezing point of water in Celsius is 0°C.
What is the atomic number of carbon?,True,0,2.4767431658394465e-05,-1.000088900581841e-12,1,[10],10,4.4694976806640625,0.00965261459350586,The atomic number of carbon is 6.,The atomic number of carbon is 6.,The atomic number of carbon is 6.
What planet is closest to the Sun?,True,0,0.0688368839314842,-1.000088900581841e-12,1,[10],10,4.445507287979126,0.010983467102050781,The planet closest to the Sun is Mercury.,The planet closest to the Sun is Mercury.,The planet closest to the Sun is Mercury.
What is the largest planet in our solar system?,True,0,0.0002867495361768,-1.000088900581841e-12,1,[10],10,4.912857532501221,0.01043844223022461,The largest planet in our solar system is Jupiter.,The largest planet in our solar system is Jupiter.,The largest planet in our solar system is Jupiter.
How many chromosomes do humans have?,True,0,0.0005395636676738,-1.000088900581841e-12,1,[10],10,3.6150405406951904,0.012325525283813477,Humans have 46 chromosomes.,Humans have 46 chromosomes.,Humans have 46 chromosomes.
What gas do plants absorb from the atmosphere?,True,0,0.0078809583390689,-1.000088900581841e-12,1,[10],10,6.484306812286377,0.010930061340332031,Plants absorb carbon dioxide (CO₂) from the atmosphere.,Plants absorb carbon dioxide (CO₂) from the atmosphere.,Plants absorb carbon dioxide (CO₂) from the atmosphere.
What is the hardest natural substance?,True,0,0.0108649905143192,-1.000088900581841e-12,1,[10],10,3.6209816932678223,0.010195255279541016,The hardest natural substance is diamond.,The hardest natural substance is diamond.,The hardest natural substance is diamond.
What is the most abundant element in the universe?,True,0,0.0018384925972925,-1.000088900581841e-12,1,[10],10,4.970690727233887,0.010326147079467773,The most abundant element in the universe is hydrogen.,The most abundant element in the universe is hydrogen.,The most abundant element in the universe is hydrogen.
What type of animal is a dolphin?,True,0,0.0848717290838062,-1.000088900581841e-12,1,[10],10,6.081002950668335,0.012297868728637695,A dolphin is a marine mammal.,A dolphin is a marine mammal.,A dolphin is a marine mammal.
How many bones does an adult human have?,True,0,0.0024382614442684,-1.000088900581841e-12,1,[10],10,4.971202850341797,0.012523889541625977,An adult human has 206 bones.,An adult human has 206 bones.,An adult human has 206 bones.
What is the pH of pure water?,True,0,0.0342684603219763,-1.000088900581841e-12,1,[10],10,4.512938499450684,0.010967731475830078,The pH of pure water is 7.,The pH of pure water is 7.,The pH of pure water is 7.
What is the powerhouse of the cell?,True,0,0.0561287475049242,-1.000088900581841e-12,1,[10],10,5.477996587753296,0.011002779006958008,The powerhouse of the cell is the mitochondrion.,The powerhouse of the cell is the mitochondrion.,The powerhouse of the cell is the mitochondrion.
What force keeps planets in orbit around the Sun?,True,0,0.0707446873044293,0.5004024235361879,2,"[8, 2]",10,3.877037763595581,0.011795282363891602,Gravity keeps planets in orbit around the Sun.,Gravity.,Gravity keeps planets in orbit around the Sun.
What year did World War II end?,True,0,8.241015158765946e-05,-1.000088900581841e-12,1,[10],10,5.3404316902160645,0.01057291030883789,World War II ended in 1945.,World War II ended in 1945.,World War II ended in 1945.
Who wrote Romeo and Juliet?,True,0,0.0073475140656075,-1.000088900581841e-12,1,[10],10,4.912229299545288,0.01154947280883789,William Shakespeare wrote *Romeo and Juliet*.,William Shakespeare wrote *Romeo and Juliet*.,William Shakespeare wrote *Romeo and Juliet*.
Who painted the Mona Lisa?,True,0,0.0067174491307745,-1.000088900581841e-12,1,[10],10,4.488856315612793,0.012969255447387695,Leonardo da Vinci painted the Mona Lisa.,Leonardo da Vinci painted the Mona Lisa.,Leonardo da Vinci painted the Mona Lisa.
Who wrote 1984?,True,0,0.0162710637606747,-1.000088900581841e-12,1,[10],10,4.570810556411743,0.011219501495361328,George Orwell wrote *1984*.,George Orwell wrote *1984*.,George Orwell wrote *1984*.
Who wrote Pride and Prejudice?,True,0,0.0494801264405007,-1.000088900581841e-12,1,[10],10,6.22601318359375,0.010730266571044922,Pride and Prejudice was written by Jane Austen.,Jane Austen wrote *Pride and Prejudice*.,Jane Austen wrote *Pride and Prejudice*.
Who wrote The Great Gatsby?,True,0,0.0081911766359148,-1.000088900581841e-12,1,[10],10,5.416643381118774,0.010887384414672852,F. Scott Fitzgerald wrote *The Great Gatsby*.,F. Scott Fitzgerald wrote *The Great Gatsby*.,F. Scott Fitzgerald wrote *The Great Gatsby*.
Who wrote Hamlet?,True,0,0.0048265500787891,-1.000088900581841e-12,1,[10],10,3.662276268005371,0.01127481460571289,William Shakespeare wrote *Hamlet*.,William Shakespeare wrote *Hamlet*.,William Shakespeare wrote *Hamlet*.
Who wrote The Odyssey?,True,0,0.0093593875093345,-1.000088900581841e-12,1,[10],10,5.352376937866211,0.010782241821289062,The Odyssey was written by the ancient Greek poet Homer.,The Odyssey was written by the ancient Greek poet Homer.,The Odyssey was written by the ancient Greek poet Homer.
What year was the United Nations founded?,True,0,0.0004548326710643,-1.000088900581841e-12,1,[10],10,5.773547172546387,0.011241912841796875,The United Nations was founded in 1945.,The United Nations was founded in 1945.,The United Nations was founded in 1945.
What year did the Berlin Wall fall?,True,0,0.0024327646849898,-1.000088900581841e-12,1,[10],10,5.313644886016846,0.01037144660949707,The Berlin Wall fell in 1989.,The Berlin Wall fell in 1989.,The Berlin Wall fell in 1989.
Who was the first person to walk on the Moon?,True,0,0.0327512481369989,-1.000088900581841e-12,1,[10],10,18.179013967514038,0.01534271240234375,"The first person to walk on the Moon was Neil Armstrong. He stepped onto the lunar surface on July 20, 1969, during NASA's Apollo 11 mission.","The first person to walk on the Moon was Neil Armstrong. He stepped onto the lunar surface on July 20, 1969, during NASA's Apollo 11 mission.","The first person to walk on the Moon was Neil Armstrong. He took this historic step on July 20, 1969, during NASA's Apollo 11 mission."
